uid,Год,Месяц оценки,Дата оценки,Ориентация на достижение,Коммуникативная компетенция,Сервисность,Технологичность,Анализ данных,Лидерство,Командность,Постановка задач,Обратная связь,Мотивация к наставничеству,Понимание наставничества,Наставничество
u939,2014,Июль 2014,7 июля 2014 г.,"3,2","3,0","2,8","2,6","2,5","3,0","3,5","1,8","1,8",,,"2,0"
u927,2014,Июль 2014,7 июля 2014 г.,"3,3","3,5","3,0","3,0","3,0","3,0","3,5","2,5","2,5",,,"2,5"
u911,2015,Март 2015,19 марта 2015 г.,"2,8","3,0","2,5","3,3","2,8","3,0","3,3","3,0","2,2","3,4","3,0",
u846,2015,Февраль 2014,24 февраля 2015 г.,"2,5","1,5","2,0","2,0","1,0","1,5","2,0","2,6","1,0","2,0","2,5",
u811,2014,Июль 2014,31 июля 2014 г.,"2,0","2,0","2,0","2,5","2,0","2,0","2,5","1,7","2,0",,,"2,1"
u728,2015,Февраль 2014,24 февраля 2015 г.,"3,4","3,3","2,5","3,0","3,0","3,3","2,0","2,4","2,3","2,7","4,0",
u62,2015,Февраль 2014,24 февраля 2015 г.,"3,3","3,5","2,3","2,3","1,8","3,2","3,0","2,8","3,5","3,5","4,0",
u554,2014,Сентябрь 2014,15 сентября 2014 г.,"2,7","3,0","2,8","2,7","3,0","3,5","3,0","2,3","1,8",,,
u529,2014,Июль 2014,31 июля 2014,"2,7","3,0","3,0","3,0","2,5","3,0","2,5","3,5","3,2",,,"3,0"
u520,2014,Сентябрь 2014,15 сентября 2014 г.,"2,7","2,6","2,4","2,3","2,3","2,5","2,8","1,6","1,5",,,
u51,2015,Март 2015,19 марта 2015 г.,"3,3","3,8","3,0","3,5","3,0","3,8","2,5","3,5","3,6","3,5","3,0",
u476,2014,Июль 2014,31 июля 2014 г.,"2,7","2,1","3,0","1,7","3,0","2,0","3,0","2,8","2,6",,,"2,2"
u25,2014,Сентябрь 2014,15 сентября 2014 г.,"2,5","2,7","2,2","2,7","2,6","1,5","2,0","1,5","1,7",,,
u238,2014,Июль 2014,31 июля 2014 г.,"2,3","2,5","3,0","2,5","2,5","2,5","3,0","3,3","3,2",,,"2,8"
u2050,2015,Март 2015,19 марта 2015 г.,"2,9","3,0","3,0","1,5","2,5","2,8","3,0","3,1","3,0","3,3","2,8",
u1993,2015,Февраль 2014,24 февраля 2015 г.,"2,9","2,3","2,0","3,0","1,8","1,5","3,0","1,3","1,0","1,0","4,0",
u1845,2014,Июль 2014,7 июля 2014 г.,"2,4","2,0","2,8","2,4","2,5","2,2","2,5","2,0","2,3",,,"2,3"
u1826,2014,Июль 2014,31 июля 2014 г.,"2,6","2,0","2,6","1,7","2,0","2,0","3,0","2,3","2,6",,,"2,3"
u1824,2015,Март 2015,19 марта 2015 г.,"2,8","3,0","3,5","3,0","2,5","2,5","3,0","3,1","3,4","3,6","3,0",
u1819,2015,Март 2015,19 марта 2015 г.,"1,3","2,0","1,8","2,5","1,6","1,4","2,0","2,6","2,6","2,4","2,0",
u1779,2014,Сентябрь 2014,15 сентября 2014 г.,"2,0","1,9","2,1","1,6","1,8","1,5","2,0","1,3","1,5",,,
u177,2014,Июль 2014,7 июля 2014 г.,"2,8","3,2","3,0","2,9","3,0","2,8","3,2","2,7","2,7",,,"2,9"
u1599,2014,Июль 2014,31 июля 2014 г.,"2,4","3,0","3,0","2,7","3,0","2,3","3,0","2,8","3,3",,,"2,7"
u1536,2015,Февраль 2014,24 февраля 2015 г.,"2,0","2,0","2,3","2,0","2,3","2,6","2,7","1,7","2,0","2,0","4,0",
u1532,2014,Июль 2014,31 июля 2014 г.,"2,5","3,0","3,0","3,0","2,0","3,0","3,0","2,0","1,8",,,"2,4"
u1530,2014,Сентябрь 2014,15 сентября 2014 г.,"2,4","2,6","3,0","2,6","3,0","2,6","3,0","2,5","2,3",,,
u1452,2015,Февраль 2014,24 февраля 2015 г.,"2,3","2,0","2,5","2,3","1,5","2,7","2,5","1,3","1,5","1,0","2,3",
u1446,2014,Июль 2014,31 июля 2014 г.,"2,7","3,0","3,0","3,0","2,0","3,0","3,0","2,4","2,6",,,"2,6"
u1423,2015,Февраль 2014,24 февраля 2015,,,,,,,,,,,,
u133,2014,Июль 2014,31 июля 2014 г.,"2,5","1,5","2,0","2,0","2,0","1,0","3,0","3,0","3,0",,,"2,5"
u1305,2015,Февраль 2014,24 февраля 2015 г.,"2,1","3,5","2,0","3,0","2,0","3,3","3,0","2,0","2,3","2,7","2,5",
u1145,2014,Сентябрь 2014,15 сентября 2014 г.,"2,5","3,0","2,8","2,4","2,9","1,5","2,0","1,5","1,5",,,
u1143,2014,Сентябрь 2014,15 сентября 2014 г.,"2,1","1,7","1,7","1,4","1,7","1,5","2,0","1,5","1,9",,,
u1141,2014,Июль 2014,7 июля 2014 г.,"2,8","2,7","2,3","2,7","2,3","2,3","2,5","1,8","2,0",,,"2,5"
u1038,2014,Июль 2014,31 июля 2014 г.,"2,1","2,2","2,0","1,3","3,0","2,2","3,0","1,5","2,0",,,"2,0"
u1025,2014,Июль 2014,31 июля 2014 г.,"2,0","2,2","2,3","1,6","3,0","2,0","3,0","2,4","2,2",,,"2,2"
u1015,2014,Сентябрь 2014,15 сентября 2014 г.,"3,0","3,0","2,8","3,1","3,0","3,0","3,0","2,2","2,0",,,